date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:04	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jan%202024%2008:01:04%20GMT	https://salahtml.uxper.co/robots.txt		(from )
13:31:05	53490/53490	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:25:46%20GMT	https://salahtml.uxper.co/	C:/My%20Web%20Sites/Ingrowth/salahtml.uxper.co/index.html	(from )
13:31:06	3926/3926	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Dec%202022%2018:30:46%20GMT	https://salahtml.uxper.co/assets/images/favicon.png	C:/My%20Web%20Sites/Ingrowth/salahtml.uxper.co/assets/images/favicon.png	(from https://salahtml.uxper.co/)
13:31:06	89729/89729	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Nov%202019%2018:57:56%20GMT	https://salahtml.uxper.co/assets/libs/line-awesome/css/line-awesome.min.css	C:/My%20Web%20Sites/Ingrowth/salahtml.uxper.co/assets/libs/line-awesome/css/line-awesome.min.css	(from https://salahtml.uxper.co/)
13:31:06	194901/194901	---MCZ	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2023:07:38%20GMT	https://salahtml.uxper.co/assets/libs/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Ingrowth/salahtml.uxper.co/assets/libs/bootstrap/css/bootstrap.min.css	(from https://salahtml.uxper.co/)
13:31:06	16469/16469	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Nov%202022%2006:10:32%20GMT	https://salahtml.uxper.co/assets/libs/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/Ingrowth/salahtml.uxper.co/assets/libs/swiper/swiper-bundle.min.css	(from https://salahtml.uxper.co/)
13:31:07	6537/6537	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Feb%202023%2018:12:28%20GMT	https://salahtml.uxper.co/assets/libs/twentytwenty/twentytwenty.css	C:/My%20Web%20Sites/Ingrowth/salahtml.uxper.co/assets/libs/twentytwenty/twentytwenty.css	(from https://salahtml.uxper.co/)
13:31:07	287321/287321	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20Feb%202023%2015:18:22%20GMT	https://salahtml.uxper.co/assets/css/style.css	C:/My%20Web%20Sites/Ingrowth/salahtml.uxper.co/assets/css/style.css	(from https://salahtml.uxper.co/)
13:31:08	53490/53490	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:25:46%20GMT	https://salahtml.uxper.co/index.html	C:/My%20Web%20Sites/Ingrowth/salahtml.uxper.co/index-2.html	(from https://salahtml.uxper.co/)
13:31:08	83583/83583	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Feb%202023%2016:31:54%20GMT	https://salahtml.uxper.co/assets/images/html5.svg	C:/My%20Web%20Sites/Ingrowth/salahtml.uxper.co/assets/images/html5.svg	(from https://salahtml.uxper.co/)
